date,open,high,low,close,volume,X1,X2
3/23/17,56.15,56.425,55.78,55.85,7357207,55.77347675,1.990675
3/24/17,56.11,57.38,55.9,56.81,15763000,55.87219325,0.202125
3/27/17,56.66,57.45,56.46,57.23,8861799,56.00150818,1.31925
3/28/17,57.1,57.52,57.025,57.35,8331644,56.12993597,0.57475
3/29/17,57.17,57.85,57.13,57.54,6996184,56.26422779,0.746025
3/30/17,57.45,58.3,57.42,58.16,8677916,56.44477752,-0.473725
3/31/17,58.105,58.66,58.06,58.39,9156707,56.6300368,-0.481825
4/3/17,58.28,58.47,57.89,58.44,8989831,56.80241425,1.077825
4/4/17,58.37,58.41,58.01,58.32,6474781,56.94694623,0.98525
4/5/17,57.96,59.27,57.81,58.22,13656221,57.06818944,0.891475
4/6/17,58.13,58.36,57.73,57.92,9112533,57.14931426,-0.428575
4/7/17,57.8,58.25,57.55,58.02,6773752,57.23223671,-0.68535
4/10/17,58,58.21,57.73,57.95,5266312,57.30059512,0.53285
4/11/17,57.84,58.16,57.38,57.88,5855091,57.35577654,-0.7471
4/12/17,57.88,57.895,57.48,57.58,5450298,57.37713115,0.11955
4/13/17,57.61,57.79,57.45,57.51,4871717,57.38978533,1.306625
4/17/17,57.68,58.25,57.68,58.08,5626042,57.45552006,0.935575
4/18/17,57.59,58.48,57.59,58.35,5449699,57.54070862,1.319925
4/19/17,58.6,59.49,58.5,59.04,12000639,57.68349828,-0.28755
4/20/17,59.71,60.335,59.56,60.08,12445862,57.91173654,3.947475
4/21/17,60.2,60.69,60.15,60.61,8799985,58.16871401,0.644925
4/24/17,61,61.38,60.89,61.11,10721276,58.44883649,-0.388075
4/25/17,60.65,61.21,59.9237,60.96,10936939,58.68799492,0.067575
4/26/17,61.23,61.75,60.98,61.56,8525419,58.96151921,0.5222
4/27/17,61.63,61.94,61.19,61.3,15285342,59.18423167,0.179675
4/28/17,59.41,60.18,58.99,60.06,25046130,59.26763817,-1.893975
5/1/17,60,60.6,59.7619,60.18,10910341,59.35452978,-0.0478
5/2/17,60.15,60.52,60.04,60.5,9152088,59.46362218,0.383075
5/3/17,60.52,60.665,60.255,60.59,7706367,59.57089626,-0.093625
5/4/17,60.65,60.85,60.39,60.83,6874286,59.6908109,-0.10775
5/5/17,60.86,60.99,60.58,60.95,6443309,59.81073367,-0.13135
5/8/17,61.07,61.07,60.7,60.94,5588371,59.91828284,-0.349925
5/9/17,60.58,61.08,60.57,60.98,5806562,60.01939876,-0.449975
5/10/17,60.88,60.98,60.21,60.66,7198414,60.08040841,-0.143525
5/11/17,60.45,60.51,60.03,60.27,5516893,60.09846475,-0.63405
5/12/17,60.28,60.34,59.83,59.93,5647531,60.08242049,-0.65995
5/15/17,60.42,60.49,60.125,60.45,5904094,60.11742806,1.7516
5/16/17,60.68,60.7,59.88,59.98,6303480,60.10433967,0.507775
5/17/17,59.97,60.3239,59.55,59.73,7581230,60.06868828,0.25335
5/18/17,59.73,59.94,58.87,59.82,8602411,60.04500368,-0.336825
5/19/17,59.94,61.92,59.94,61.36,12530995,60.17024142,-1.47075
5/22/17,61.03,61.72,61.03,61.23,6392124,60.27117081,-0.243675
5/23/17,61.4,61.5,60.86,61.15,5622524,60.35486883,-0.402675
5/24/17,61.4,62,60.94,61.89,7283789,60.5010718,-0.33075
5/25/17,62.01,63.11,61.9,62.9,8931804,60.72954115,1.712275
5/26/17,63.01,63.42,62.97,63.3,6097990,60.97434675,1.25975
5/30/17,63.07,63.41,63.01,63.26,7094586,61.19202802,-1.11905
5/31/17,63.27,63.61,63.08,63.61,7314634,61.42231106,-1.289125
6/1/17,63.51,63.82,63.35,63.75,6058263,61.64399572,0.635325
6/2/17,63.88,64.68,63.7,64.57,7840374,61.9226628,0.7675
6/5/17,64.85,64.87,64.18,64.27,6809284,62.14621872,1.304125
6/6/17,64.22,64.35,64.05,64.16,5448439,62.33800741,1.5256
6/7/17,64.13,64.295,63.34,63.5,8364994,62.44867338,-1.422075
6/8/17,63.44,63.58,62.02,62.24,11289266,62.42879972,-1.819
6/9/17,62.37,62.48,61.8745,62.19,11240487,62.40605689,2.147525
