Date,Open,High,Low,Close,Volume,RSI,SSO,SMA,S-Open,S-High,S-Low,S-Close
02/11/2016,152,163.26,147,150.47,14252364,25.7741122445,10.0511963222,8.0899385483,0.6789,2.5348,0.6789,2.1422
02/12/2016,155,157.01,143.7,151.04,7235783,26.3584248825,11.8798533218,9.3998757129,0.2045,0.4119,-0.8091,0.1445
02/16/2016,158.7,162.95,154.11,155.17,5593794,30.6201285598,18.6838292656,13.5382929699,1.0653,1.9625,1.0634,1.65
02/17/2016,159,169.34,156.68,168.68,5825159,42.3692284204,29.4966079471,20.0200968448,0.9694,0.9694,0.1734,0.6864
02/18/2016,172.42,172.95,164.77,166.77,3887574,41.3042793108,38.4641696597,28.8815356241,0.2306,0.4073,-0.0744,0.1245
02/19/2016,163.66,167.49,162.5,166.58,2959390,41.1933591667,44.9689299356,37.6432358475,0.3544,1.202,0.2966,1.1514
02/22/2016,170.12,178.91,169.85,177.74,5060051,49.7322271183,52.0324241169,45.1551745707,-0.1672,1.0776,-0.227,1.0712
02/23/2016,176.16,181.73,173.68,177.21,5984374,49.3656250391,64.1204458059,53.7072666195,0.4251,1.0756,0.2152,0.309
02/24/2016,172.75,179.5,167.84,179,5395609,50.6877534822,81.6868180478,65.9465626569,-0.3387,1.7161,-0.3387,1.6885
02/25/2016,178.65,188.5192,175.2,187.43,5750741,56.4544981424,91.9495845518,79.2522828018,1.3716,1.9693,0.9844,1.6129
02/26/2016,188.7,192,185,190.34,6065117,58.2687093613,96.0609406812,89.8991144269,0.4803,1.627,0.4792,1.3951
02/29/2016,192.4,196.35,189.222,191.93,4498997,59.2672754812,95.3361714086,94.4488988805,-0.2393,0.0365,-1.2571,-0.8931
03/01/2016,194.25,195.9484,182.7,186.35,6712159,54.3519539722,90.0037299515,93.8002806804,-1.6713,-1.6709,-4.0764,-4.0754
03/02/2016,183.73,188.52,181.5,188.34,4862396,55.7610649288,86.2020177165,90.5139730255,-3.8744,-1.6208,-3.8868,-1.7117
03/03/2016,188.28,197.42,184.22,195.74,4829018,60.6281820244,87.7686669151,87.9914715277,-0.0499,1.3078,-0.0943,1.2988
03/04/2016,198,204.03,197.5001,201.04,6489058,63.7078811422,91.8868769595,88.619187197,0.6934,0.7147,-0.423,-0.4224
03/07/2016,197.68,209.7,197.4,205.29,5337072,66.0042675443,94.2040086812,91.2865175186,-0.4651,-0.1811,-0.7229,-0.2126
03/08/2016,203.5,207.5,202.2,202.6,4178693,63.2752004981,90.3423471427,92.1444109278,0.6866,0.7334,-0.0597,0.1498
03/09/2016,204.52,209.3726,202.79,208.72,3208554,66.6533454831,91.5276081943,92.0246546727,-0.4577,0.0827,-0.4996,-0.1051
03/10/2016,210,213.29,200.671,205.18,5192523,63.0410850488,88.42331069,90.0977553423,0.3571,0.7592,-0.0072,0.1706
03/11/2016,207.93,209.42,205.33,207.5,3343077,64.4026675536,89.2251991311,89.7253726718,0.3115,1.1094,0.2723,1.1061
03/14/2016,212.65,216.72,210.64,215.15,4065706,68.5208524939,88.9326083846,88.8603727352,2.0561,2.991,2.0315,2.9282
03/15/2016,214.27,218.97,211.5,218.34,3180452,70.0754907815,94.2143374366,90.7907149841,1.6378,1.9712,1.4429,1.9649
03/16/2016,218,222.58,217.02,221.93,3516703,71.7654481329,97.8688402004,93.6719286739,0.9979,1.2051,0.7015,1.0582
03/17/2016,221.47,228.5,220,226.38,3782891,73.7447630431,97.4213120971,96.501496578,0.5955,0.7555,0.1627,0.2882
